kmeans,random,greedy,hillclimber
29635,35548,29338,35053
29725,36088,29437,35215
29716,35791,29383,35026
29887,35530,29455,35359
29770,35737,29320,34855
29671,35827,29446,35179
29635,35701,29338,35548
29689,35791,29455,35611
29743,36196,29419,35539
29590,35404,29365,35008
29743,35854,29374,35197
29680,35737,29338,35089
29491,36151,29464,35404
29734,36043,29410,35242
29770,35521,29383,34864
29662,36016,29446,35431
29689,35800,29428,35287
29743,35782,29455,35062
29851,35656,29725,36133
29698,35449,29347,35233
29545,35512,29446,35269
29743,35971,29302,35332
29779,35251,29365,35440
29608,35836,29311,35404
29572,35809,29437,35458
29932,35269,29437,35359
29626,35647,29374,35305
29734,35890,29428,35152
29779,35944,29707,34927
29563,35413,29446,35656
29734,35809,29437,35098
29788,35503,29329,35080
29734,35782,29671,35368
29851,35737,29446,35008
29662,35899,29437,35350
29662,35611,29356,35242
29887,35899,29374,35269
29770,35368,29347,35602
29644,35908,29320,35332
29671,35998,29455,35089
29833,35683,29455,34909
29563,35602,29428,35332
29527,36079,29428,35161
29806,35593,29419,35584
29860,35971,29464,35314
29725,35773,29410,35431
29563,35251,29320,35170
29770,35782,29356,35557
29671,35980,29356,35548
29662,36160,29464,35656
29743,35647,29347,35602
29716,35710,29419,35611
29788,35647,29320,34621
29671,35692,29707,35215
29707,35656,29356,34936
29653,35980,29473,35026
29815,35719,29473,34801
29536,35818,29347,34981
29806,35935,29311,35152
29725,35872,29347,34855
29617,35746,29446,34927
29779,35854,29311,35233
29788,36205,29365,35044
29707,35800,29374,35152
29734,35854,29482,35215
29680,35512,29356,35224
29806,35494,29437,35584
29527,35683,29329,35269
29734,35296,29338,35386
29860,35989,29446,35692
29779,35134,29365,35134
29707,35413,29419,35323
29815,35638,29311,35197
29689,35269,29437,34909
29725,36394,29311,35314
29743,35737,29419,35386
29752,35764,29464,35467
29815,35440,29446,35332
29806,35746,29446,34882
29752,35647,29437,35350
29806,35395,29356,35035
29815,35908,29365,35620
29725,35692,29365,35305
29689,35926,29473,35035
29806,35575,29419,34801
29797,35539,29347,34918
29599,36070,29428,35206
29662,35467,29491,34792
29644,35827,29410,35431
29635,35449,29338,35458
29527,35602,29437,35251
29788,36259,29473,35926
29707,35665,29419,35260
29680,35800,29347,35179
29761,35602,29338,35737
29824,35935,29338,34558
29860,35431,29329,35053
29635,35548,29410,34765
29824,35305,29338,35305
